"name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations"
"New York, NY, United States","2021-01-01",4.3,2.1,3.5,3.1,-1.9,0.5,-1.7,69.3,3.26,100,33.33,"rain",0,0,29.5,25.2,41.6,1029.3,37.9,15.6,91.4,4.3,3,NA,"2021-01-01T07:20:13","2021-01-01T16:39:34",0.59,"Rain, Partially cloudy","Becoming cloudy in the afternoon with rain.","rain","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-02",12.1,3.3,6.3,12.1,-0.6,4.3,2,76.1,0.857,100,20.83,"rain",0,0,56.5,29,306.3,1012.9,53,14.1,167.7,7.8,5,NA,"2021-01-02T07:20:18","2021-01-02T16:40:26",0.63,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-03",4.3,2.8,3.4,1.4,-2.9,-1.1,0.6,82.5,0.323,100,33.33,"rain",0,0,42.5,31.2,34,1017.1,70.9,14,21.8,1,1,NA,"2021-01-03T07:20:21","2021-01-03T16:41:19",0.66,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","72505394728,72055399999,KLGA,E5816,KJRB,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-04",7.1,2.8,4.5,5.7,-0.8,2.7,1.1,78.8,0.047,100,16.67,"rain",0,0,27.7,18.3,14,1015,88.1,16,137.3,6,4,NA,"2021-01-04T07:20:21","2021-01-04T16:42:14",0.7,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain","72505394728,0826W,72055399999,KLGA,E5816,KJRB,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-05",5.6,3.3,4.3,5.6,0.4,2.4,-0.4,71.8,0,0,0,"",0,0,NA,14.4,19.7,1013.5,99.9,16,70.6,3.1,2,NA,"2021-01-05T07:20:19","2021-01-05T16:43:10",0.73,"Overcast","Cloudy skies throughout the day.","cloudy","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-06",7.7,2.2,4.1,7,-0.2,2.3,-2.3,64.1,0.46,100,8.33,"rain",0,0,76.8,12.2,303.9,1015.6,41.4,15.9,197.8,8.7,5,NA,"2021-01-06T07:20:14","2021-01-06T16:44:07",0.75,"Rain, Partially cloudy","Clearing in the afternoon with late afternoon rain.","rain","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-07",8.1,0.6,3.1,7.4,-1.9,1.4,-4.9,56.8,0.23,100,4.17,"rain",0,0,59,11.2,320.3,1019,0.3,16,194.3,9.1,5,NA,"2021-01-07T07:20:08","2021-01-07T16:45:06",0.8,"Rain","Clear conditions throughout the day with afternoon rain.","rain","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-08",3.8,-1.2,1.4,3.8,-4.9,-1.6,-4.7,64.7,0,0,0,"",0,0,38.9,18.1,17.4,1015.6,1.1,16,109.5,5,3,NA,"2021-01-08T07:19:59","2021-01-08T16:46:06",0.84,"Clear","Clear conditions throughout the day.","clear-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-09",3.8,-2.2,1.1,3.7,-6.4,-1.4,-6.8,56.5,0,0,0,"",0,0,55.7,14.7,22.1,1012.6,31.4,16,166.5,7.7,5,NA,"2021-01-09T07:19:48","2021-01-09T16:47:08",0.88,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-10",8.1,0,2.9,7.4,-3.2,1.1,-6,52.7,0,0,0,"",0,0,35.3,13,345.1,1022.3,0.6,16,210.4,8.9,4,NA,"2021-01-10T07:19:34","2021-01-10T16:48:10",0.91,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-11",2.9,-0.1,1.4,2.9,-3.2,-0.1,-4.5,64.7,0,0,0,"",0,0,NA,11.2,272.1,1025.4,10.3,16,90.8,4.3,2,NA,"2021-01-11T07:19:19","2021-01-11T16:49:14",0.95,"Clear","Clear conditions throughout the day.","clear-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-12",8.2,0.7,3.7,7.8,-3.1,1.3,-3.1,62.3,0,0,0,"",0,0,NA,12.8,257.7,1020.1,6.9,15.9,210.4,9.2,5,NA,"2021-01-12T07:19:01","2021-01-12T16:50:18",0.98,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-13",6.7,2.3,4.1,4.1,0.2,1.7,-2.9,60.6,0,0,0,"",0,0,31.7,23.3,256.6,1016.6,80.1,15.9,114.3,5.3,3,NA,"2021-01-13T07:18:41","2021-01-13T16:51:24",0,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-14",11,3.4,6.4,11,0.6,5.2,-0.3,63.2,0,0,0,"",0,0,NA,10.8,271.9,1010.9,34.3,15.9,144.5,7,3,NA,"2021-01-14T07:18:19","2021-01-14T16:52:30",0.05,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-15",7.9,3.8,6,4.3,-0.8,2.4,3,81.4,2.759,100,12.5,"rain",0,0,47.7,32.6,47.5,1013.4,74.8,13.4,64,2.7,2,NA,"2021-01-15T07:17:54","2021-01-15T16:53:38",0.08,"Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain.","rain","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-16",8.3,3.8,6.2,6.1,-0.1,3.4,2.8,79.9,12.924,100,37.5,"rain",0,0,48.4,33.3,328.8,998.5,82.7,15.3,89.8,3.8,2,NA,"2021-01-16T07:17:28","2021-01-16T16:54:46",0.11,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","rain","72505394728,0826W,72055399999,KLGA,E5816,KJRB,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-17",7.7,2.8,4.8,5.1,-2.5,0.6,-2.8,58.3,0,0,0,"",0,0,51.8,38.7,266.6,1003.5,60.9,16,144.5,6.8,4,NA,"2021-01-17T07:16:59","2021-01-17T16:55:55",0.14,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-18",8.3,3.4,5.3,7.5,-0.9,2.4,-2.3,58.9,0,0,0,"",0,0,49.5,28.8,264.2,1008.1,47,16,183.2,8.6,5,NA,"2021-01-18T07:16:28","2021-01-18T16:57:04",0.18,"Partially cloudy","Becoming cloudy in the afternoon.","partly-cloudy-day","72505394728,0826W,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-19",6.1,1.7,3.5,2.9,-2.2,-0.2,-4,58.3,0,0,0,"",0,0,57.9,32.6,263.9,1017.7,43.6,16,167.8,7.2,4,NA,"2021-01-19T07:15:55","2021-01-19T16:58:15",0.21,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,72055399999,KLGA,E5816,KJRB,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-20",5.5,-1.2,2.4,4.9,-3.3,0.3,-6.1,54.9,0.261,100,8.33,"rain,snow",0,0,54.8,21.7,278.3,1014.9,57.3,15.3,185.9,8,5,NA,"2021-01-20T07:15:20","2021-01-20T16:59:25",0.25,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with morning rain or snow.","rain","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-21",6.1,-2.2,1.7,4.1,-6.4,-1.4,-6.2,56,0,0,0,"",0,0,37.1,24.1,245.4,1009.2,19.4,16,176.4,7.6,5,NA,"2021-01-21T07:14:43","2021-01-21T17:00:37",0.27,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-22",7.2,3.3,4.7,5,-0.2,2,-4.2,53.1,0,0,0,"",0,0,46.4,27,269.8,1006.7,72.6,16,117.3,5.1,3,NA,"2021-01-22T07:14:03","2021-01-22T17:01:49",0.3,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-23",2.8,-3.3,0,0.7,-5.9,-2.8,-11.1,43.5,0,0,0,"",0,0,54.5,13.5,302.7,1017.7,41.7,16,214.8,9.4,5,NA,"2021-01-23T07:13:22","2021-01-23T17:03:01",0.34,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-24",2,-3.9,-1.4,0.6,-7.9,-4.1,-12.3,44.2,0,0,0,"",0,0,57.6,13.6,301.9,1021.7,14.6,16,219.7,9.5,5,NA,"2021-01-24T07:12:39","2021-01-24T17:04:14",0.37,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-25",4.9,-3.4,0.6,4.9,-7.1,-2.1,-8.6,50.9,0,0,0,"",0,0,31.7,16.2,353,1020,22,16,207.3,9.2,5,NA,"2021-01-25T07:11:54","2021-01-25T17:05:27",0.4,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72505394728,72055399999,KLGA,E5816,KJRB,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-26",2.1,0.6,1.6,-1.7,-4.9,-2.9,-3.4,71.2,0.15,100,33.33,"rain,snow",0,0,27.7,25.1,39.8,1015.1,96.9,12.9,50.6,2,1,NA,"2021-01-26T07:11:07","2021-01-26T17:06:40",0.43,"Snow, Rain, Overcast","Cloudy skies throughout the day with rain or snow.","rain","72505394728,72055399999,KLGA,E5816,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-27",3.8,0.6,2.4,3.8,-2.4,0.5,-2.3,72.1,0.014,100,4.17,"rain",0,0,42.5,11.4,323.6,1016.2,91.8,15.8,104.7,4.5,2,NA,"2021-01-27T07:10:18","2021-01-27T17:07:54",0.46,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","rain","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-28",2.7,-5.1,-0.6,1,-8.8,-2.9,-9.5,52.4,0,0,0,"",0,0,59.9,13.9,315.9,1019,26.7,16,249.9,10.7,5,NA,"2021-01-28T07:09:27","2021-01-28T17:09:08",0.5,"Partially cloudy","Clearing in the afternoon.","partly-cloudy-day","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-29",-1.3,-7.3,-4.7,-2.3,-12.8,-8.4,-13.7,49.9,0,0,0,"",0,0,63,15.5,308.9,1020.4,13,16,271.8,11.6,6,NA,"2021-01-29T07:08:35","2021-01-29T17:10:22",0.53,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-30",3.2,-7.2,-3,0.5,-11.8,-6.4,-12.2,51,0,0,0,"",0,0,36.7,15.1,287.6,1025.7,2.7,16,276.6,12,6,NA,"2021-01-30T07:07:40","2021-01-30T17:11:36",0.57,"Clear","Clear conditions throughout the day.","clear-day","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
"New York, NY, United States","2021-01-31",-2.2,-4.5,-3.5,-2.9,-11.7,-8.2,-8.4,69.5,0.116,100,16.67,"snow",8.7,2.9,42.3,31,49.8,1025.6,55.2,12.8,91,4.1,2,NA,"2021-01-31T07:06:44","2021-01-31T17:12:50",0.6,"Snow, Partially cloudy","Partly cloudy throughout the day with late afternoon snow.","snow","72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
